qc_mass,mass,vonFrac,bisFrac,mean,mean_min,mean_max,aL,aL_min,aL_max,aR,aR_min,aR_max,sigmaL,sigmaL_min,sigmaL_max,sigmaR,sigmaR_min,sigmaR_max,fracL,fracL_min,fracL_max,nL,nL_min,nL_max,nR,nR_min,nR_max
0.02,0.01,0.6,0.85,0.0101,0.009,0.011,1,-3,2,-1.3,-3,3,0.0011,0,0.002,0.0012,0,0.0036,0.5,0.4,1,6,1.1,6,6,0,6
0.03,0.025,0.32,0.35,0.0251,0.024,0.026,1,-3,2,-1.3,-3,3,0.0014,0,0.002,0.0023,0,0.0036,0.5,0.1,1,6,1.1,6,6,0,6
0.0375,0.05,0.2,0.2,0.05004,0.049,0.051,1,-3,2,-1.3,-3,3,0.0019,0,0.0027,0.0027,0,0.0036,0.5,0.1,1,6,1.1,6,6,0,6
0.04,0.075,0.18,0.15,0.075,0.074,0.076,1.5511,1.1117,1.7371,-1.6966,-1.8567,-1.1883,0.00216,0,0.0027,0.00303,0,0.0036,0.8677,0.1368,1.09481,3.0743,1.2431,3.1078,2.3963,2.0552,5.138
0.06,0.1,0.12,0.12,0.0999,0.098,0.101,1.2209,1.1117,1.7371,-1.5868,-1.8567,-1.1883,0.00231,0,0.0027,0.00284,0,0.0036,0.579,0.1368,1.09481,3.2069,1.2431,3.1078,5.9907,2.0552,5.138
0.07,0.15,0.11,0.11,0.1499,0.148,0.151,1.1965,1.1117,1.7371,-1.3621,-1.8567,-1.1883,0.00281,0,0.0027,0.00315,0,0.0036,0.6085,0.1368,1.09481,3.2069,1.2431,3.1078,5.9907,2.0552,5.138
0.125,0.2,0.075,0.075,0.1999,0.198,0.201,1.314,1.1117,1.7371,-1.3897,-1.8567,-1.1883,0.00281,0,0.0027,0.00358,0,0.0036,0.4914,0.1368,1.09481,3.2069,1.2431,3.1078,4.8832,2.0552,5.138
0.175,0.25,0.06,0.06,0.2498,0.248,0.251,1.2924,1.1117,1.7371,-1.174,-1.8567,-1.1883,0.00281,0,0.0027,0.00331,0,0.0036,0.4417,0.1368,1.09481,2.1432,1.2431,3.1078,3.9238,2.0552,5.138
0.405,0.3,0.05,0.05,0.2999,0.298,0.301,1.3842,1.1117,1.7371,-1.6044,-1.8567,-1.1883,0.00201,0,0.0027,0.00323,0,0.0036,0.3247,0.1368,1.09481,1.2828,1.2431,3.1078,2.3966,2.0552,5.138
0,0.35,0.03,0.03,0.3499,0.348,0.351,1.7685,1.1117,1.7371,-1.5839,-1.8567,-1.1883,0.00178,0,0.0027,0.00277,0,0.0036,0.5188,0.1368,1.09481,1.2828,1.2431,3.1078,3.1914,2.0552,5.138
0,0.4,0.018,0.018,0.3999,0.398,0.401,1,-3,2,-1.3,-3,3,0.0008,0,0.0027,0.0015,0,0.0036,0.5,0.1,1,6,1.1,6,6,0,6
0,0.41,0.012,0.009,0.4099,0.408,0.411,1,-3,2,-1.3,-3,3,0.0005,0,0.0027,0.00085,0,0.0036,0.57,0.1,1,6,1.1,6,6,0,6
